time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.3830564596616216e-06,7.771976167586912e-06,10.003432322210525,0.0017390129368557439,0.0015803961400271405,0.0,-0.00033087521066392506,0.0004565169711524724,0.11440517665104252,-0.0156955309928573,0.012623481172713063,0.0,440.8558182391209,441.89737395714127,442.16389466982537,440.8692667823275
0.12000000000000001,-7.182519772040869e-05,0.00010844160545952404,10.014939503116878,0.009552397802426782,0.00407663961230309,0.0,-0.0021759754122985626,0.0037966718208191814,0.2691382864271438,-0.049331034179478414,-0.003071326639806451,0.0,454.984948212636,453.72678784975466,454.918673158052,452.21759282517223
0.18,-0.0002848521410791949,0.0005296458890934052,10.033823165881092,0.009456666038868633,0.003909172612891254,0.0,-0.004907294615465409,0.010216159159773466,0.36029248131651553,-0.03195343071461888,-0.002411869603915091,0.0,433.06673039941575,433.1222441524744,434.54936775384493,436.0022664485524
0.23999999999999996,-0.0006789088512269036,0.0013711227810186452,10.059120491735731,0.016729816114012586,0.0076442262671099215,0.0,-0.008645302876085824,0.018565158063197387,0.4828963758800246,7.724331551397373e-05,-0.0252223251047205,0.0,445.94879902086876,444.0820314907769,442.04297629111863,444.67413765493495
0.3,-0.0013402790335881169,0.0028086801947762837,10.089520388332865,0.017762741175371133,0.00685385551449702,0.0,-0.013318015874587492,0.029462012861732247,0.530410917247176,-0.012295662178826307,-0.017031117228632545,0.0,420.5080635202535,421.2168593158192,420.09164772092,419.0176286593048
0.36000000000000004,-0.0023608166961664283,0.005012091720429673,10.128279964847994,0.017622857293342342,0.019082812437551055,0.0,-0.022136615293874028,0.0439565220126511,0.761434130016015,-0.00494096677274092,0.02166300464380059,0.0,475.1850229840253,478.14161234173855,477.1381081420678,477.6993092107326
0.4200000000000001,-0.00410467433296427,0.008016171837989838,10.177013445591331,0.01793614635882257,0.024053197360654366,0.0,-0.03652147151960002,0.05621995548209182,0.8629313992477224,-0.014778638028331943,-0.0005587419100955247,0.0,439.0559922201711,437.20863690354867,438.4097408346679,437.59180047244087
0.48000000000000015,-0.006882265322363016,0.01182422105774799,10.235366268698591,0.018145563418951127,0.024601699834676083,0.0,-0.05613775202249844,0.07072421786411298,1.081978272719201,-0.004447108557892978,-0.010201624464157639,0.0,473.9180043154932,473.17640595743194,474.1581648226304,474.9512330939006
0.5400000000000001,-0.010678967522341437,0.016384058264276538,10.300054736831653,0.018313903827319677,0.024556275034399278,0.0,-0.07040930431780618,0.08127946719756383,1.0743108619938149,0.0016782354591665261,-0.0030685033020416714,0.0,402.4240043032059,403.06919896825036,402.1733011168019,402.7277057889396
0.6000000000000002,-0.015520280664488113,0.02172190733041009,10.371961313840599,0.018533736436130432,0.024465263785294233,0.0,-0.0909564404285671,0.09667752604566691,1.322319982531598,-0.0034886110009466243,-0.007819762450743818,0.0,483.72678486185043,483.3689890800607,482.3515380857753,481.9612313734279
0.6600000000000003,-0.021490363943654462,0.027991966312297466,10.454164143975854,0.0411466293894609,0.026843093598601264,0.0,-0.10830465146917204,0.11466727127118677,1.4175893153437513,-0.057034705460948174,-0.027542263284843698,0.0,437.9000592979231,436.25658965663047,439.7487712761959,435.29085181957396
0.7200000000000003,-0.028538124114837107,0.035697337739543145,10.541612113113123,0.04146653110412579,0.029281499153802848,0.0,-0.1268830562871418,0.14218520776897775,1.4972314562155893,-0.037010507854028575,-0.050931480013782095,0.0,434.1714093238779,432.2041630679009,431.327313158974,433.01324478244004
0.7800000000000004,-0.03695119812944231,0.045303894909303546,10.639694485806594,0.04191425796569881,0.038270680077665986,0.0,-0.15464395470531747,0.17805076594718003,1.7717548514109749,-0.02027623785638577,-0.01409421068265045,0.0,489.51881686020596,492.2514400555514,491.7781196973748,493.0157158151853
0.8400000000000004,-0.04704180317450577,0.056900289627985934,10.74960389067167,0.04705638599788653,0.03747565101023209,0.0,-0.18161784305469186,0.20905679775598257,1.8916743203034452,-0.04912569118302497,-0.01255290470245092,0.0,445.6926990192931,445.81876007034424,448.68268487008953,446.3341875891921
0.9000000000000005,-0.058864742971626215,0.07062126380543678,10.870174738769583,0.04960971660312108,0.03691085726152199,0.0,-0.2123922412266373,0.24863292610323703,2.126925926653816,-0.07604655135277892,-0.008849268588986998,0.0,481.2780131780973,481.5583655678511,483.0375967150357,481.0011858442414
0.9600000000000005,-0.07234025239691831,0.08650851417928336,10.999347786605925,0.054638346072861665,0.04228189351278022,0.0,-0.23732456594571938,0.2813808487249945,2.1786932013722393,-0.043299757527104125,-0.036689131126364745,0.0,427.5832204799574,425.2049444609371,424.7954078622418,427.5907503637062
1.0200000000000005,-0.08749773552479045,0.10461593200890569,11.134234875221505,0.06311906041162896,0.04029239273667695,0.0,-0.26770717093892116,0.3230588928234631,2.3172206382109293,-0.008018620230553651,-0.04307220192747367,0.0,454.4693278061963,453.9567315497573,452.619363294028,455.44938403733124
1.0800000000000005,-0.10434970281581,0.12525511845233814,11.275155352699038,0.06863214256524142,0.039660960160667,0.0,-0.29397630037205436,0.36546236683501937,2.3799549217392646,-0.036065348240336866,-0.0596278848662084,0.0,431.80781539515283,430.4074143269344,431.89237146644496,429.5203993481808
1.1400000000000006,-0.12289057899978896,0.14876569468982279,11.423307022190954,0.06955959484956153,0.03614713369621647,0.0,-0.3236451528555382,0.4182790223897783,2.5580511586074004,-0.017967685145153775,-0.06384527039862269,0.0,467.7453854604429,467.4143856405734,465.9893317103411,467.401587806819
